#separator:tab		
<b>同日</b> <br> 同日に会議があります。	[sound:s-0001_同日に会議があります。.mp3] <br> どうじつにかいぎがあります。 <br>There is a meeting on the same day.
<b>第一声</b> <br> 彼女の出産後、赤ちゃんの第一声が聞こえた。	[sound:s-0646_彼女の出産後、赤ちゃんの第一声が聞こえた。.mp3] <br> かのじょのしゅっさんご、あかちゃんのだいいっせいがきこえた。 <br>"After her delivery, we heard the baby's first cry."
<b>第三国</b> <br> その地域はまだ第三国としての問題を抱えています。	[sound:s-0647_その地域はまだ第三国としての問題を抱えています。.mp3] <br> そのちいきはまだだいさんこくとしてのもんだいをかかえています。 <br>The region still faces issues as a third world country.
<b>次第</b> <br> 電話が鳴り次第、すぐに出ます。	[sound:s-0648_電話が鳴り次第、すぐに出ます。.mp3] <br> でんわがなりしだい、すぐにでます。 <br>I'll leave as soon as the phone rings.
<b>第一義</b> <br> この言葉の第一義は善意を表すことです。	[sound:s-0649_この言葉の第一義は善意を表すことです。.mp3] <br> このことばのだいいちぎはぜんいをあらわすことです。 <br>The primary meaning of this word is to express goodwill.
<b>共産党</b> <br> その国には共産党があります。	[sound:s-0650_その国には共産党があります。.mp3] <br> そのくににはきょうさんとうがあります。 <br>There is a Communist Party in that country.
<b>産業</b> <br> この地域の主要産業は観光です。	[sound:s-0651_この地域の主要産業は観光です。.mp3] <br> このちいきのしゅようさんぎょうはかんこうです。 <br>Tourism is the main industry in this area.
<b>生産</b> <br> この工場は日々、大量の製品を生産しています。	[sound:s-0652_この工場は日々、大量の製品を生産しています。.mp3] <br> このこうじょうはひび、たいりょうのせいひんをせいさんしています。 <br>This factory produces a large number of products every day.
<b>資産</b> <br> 彼の資産は多岐にわたっています。	[sound:s-0653_彼の資産は多岐にわたっています。.mp3] <br> かれのしさんはたきにわたっています。 <br>His assets are diverse.
<b>不動産</b> <br> 彼は不動産業で成功しています。	[sound:s-0654_彼は不動産業で成功しています。.mp3] <br> かれはふどうさんぎょうでせいこうしています。 <br>He has succeeded in the real estate business.
<b>通産省</b> <br> 通産省は日本の経済政策に重要な役割を果たしました。	[sound:s-0655_通産省は日本の経済政策に重要な役割を果たしました。.mp3] <br> つうさんしょうはにほんのけいざいせいさくにじゅうようなやくわりをはたしました。 <br>The Ministry of International Trade and Industry played a crucial role in Japan's economic policies.
<b>共産</b> <br> 彼は共産主義の理想を追求しています。	[sound:s-0656_彼は共産主義の理想を追求しています。.mp3] <br> かれはきょうさんしゅぎのりそうをついきゅうしています。 <br>He pursues the ideals of communism.
<b>財産</b> <br> 彼女は父から大きな財産を受け継ぎました。	[sound:s-0657_彼女は父から大きな財産を受け継ぎました。.mp3] <br> かのじょはちちからおおきなざいさんをうけつぎました。 <br>She inherited a large fortune from her father.
<b>国産</b> <br> 私たちは国産品をサポートすることが重要だと考えています。	[sound:s-0658_私たちは国産品をサポートすることが重要だと考えています。.mp3] <br> わたしたちはこくさんひんをさぽーとすることがじゅうようだとかんがえています。 <br>We believe it's important to support domestically produced goods.
<b>出産</b> <br> 彼女は元気な赤ちゃんを出産しました。	[sound:s-0659_彼女は元気な赤ちゃんを出産しました。.mp3] <br> かのじょはげんきなあかちゃんをしゅっさんしました。 <br>She gave birth to a healthy baby.
<b>結果</b> <br> 彼の努力の結果、試験に合格しました。	[sound:s-0660_彼の努力の結果、試験に合格しました。.mp3] <br> かれのどりょくのけっか、しけんにごうかくしました。 <br>"As a result of his efforts, he passed the exam."
<b>結局</b> <br> 彼は結局、自分の夢を叶えることができませんでした。	[sound:s-0661_彼は結局、自分の夢を叶えることができませんでした。.mp3] <br> かれはけっきょく、じぶんのゆめをかなえることができませんでした。 <br>"In the end, he couldn't fulfill his dream."
<b>結婚</b> <br> 彼らは来年結婚する予定です。	[sound:s-0662_彼らは来年結婚する予定です。.mp3] <br> かれらはらいねんけっこんするよていです。 <br>They plan to get married next year.
<b>結論</b> <br> 議論の結論が出ました。	[sound:s-0663_議論の結論が出ました。.mp3] <br> ぎろんのけつろんがでました。 <br>A conclusion was reached in the discussion.
<b>結ぶ</b> <br> 彼らは友情で結ばれています。	[sound:s-0664_彼らは友情で結ばれています。.mp3] <br> かれらはゆうじょうでむすばれています。 <br>They are bound by friendship.
<b>結成</b> <br> 新しいバンドが結成されました。	[sound:s-0665_新しいバンドが結成されました。.mp3] <br> あたらしいばんどがけっせいされました。 <br>A new band has been formed.
<b>終結</b> <br> その戦争はついに終結しました。	[sound:s-0666_その戦争はついに終結しました。.mp3] <br> そのせんそうはついにしゅうけつしました。 <br>The war finally came to an end.
<b>凍結</b> <br> 道路が凍結していますので、運転に気をつけてください。	[sound:s-0667_道路が凍結していますので、運転に気をつけてください。.mp3] <br> どうろがとうけつしていますので、うんてんにきをつけてください。 <br>"The roads are frozen, so please drive carefully."
<b>結び</b> <br> この論文の結びに、新たな視点を加えました。	[sound:s-0668_この論文の結びに、新たな視点を加えました。.mp3] <br> このろんぶんのむすびに、あたらなしみてんをくわえました。 <br>I added a new perspective to the conclusion of this paper.
<b>締結</b> <br> 両国は平和条約を締結しました。	[sound:s-0669_両国は平和条約を締結しました。.mp3] <br> りょうこくはへいわじょうやくをていけつしました。 <br>The two countries signed a peace treaty.
<b>百</b> <br> その山には百匹のウサギが住んでいます。	[sound:s-0670_その山には百匹のウサギが住んでいます。.mp3] <br> そのやまにはひゃくひきのうさぎがすんでいます。 <br>There are a hundred rabbits living on that mountain.
<b>二百</b> <br> 彼は二百メートルを泳ぎました。	[sound:s-0671_彼は二百メートルを泳ぎました。.mp3] <br> かれはにひゃくメートルをおよぎました。 <br>He swam two hundred meters.
<b>三百</b> <br> 彼女は三百円を使いました。	[sound:s-0672_彼女は三百円を使いました。.mp3] <br> かのじょはさんびゃくえんをつかいました。 <br>She spent three hundred yen.
<b>百貨店</b> <br> その百貨店は地元で最も人気があります。	[sound:s-0673_その百貨店は地元で最も人気があります。.mp3] <br> そのひゃっかてんはじもとでもっともにんきがあります。 <br>That department store is the most popular in the local area.
