tender, kind, gentle, graceful, affectionate, amiable, suave	<b>優しい</b> <br> やさしい <br> [sound:4c-k-優しい.mp3]
彼は来月、個展を開きます。 <br><br> (個展)	<b>かのじょはひじょうにせっきょくてきなたいどをとっています。</b> <br> She is taking a very proactive attitude. <br> [sound:4c-s-彼は来月、個展を開きます。.mp3]
She is taking a very proactive attitude.	<b>彼は来月、個展を開きます。</b> <br> かのじょはひじょうにせっきょくてきなたいどをとっています。 <br><br> (個展) <br> [sound:4c-s-彼は来月、個展を開きます。.mp3]
[sound:4c-k-態度.mp3]	<b>態度</b> <br> たいど <br> attitude, manner, behaviour
態度	<b>たいど</b> <br> attitude, manner, behaviour <br> [sound:4c-k-態度.mp3]
attitude, manner, behaviour	<b>態度</b> <br> たいど <br> [sound:4c-k-態度.mp3]
[sound:4c-s-彼女は非常に積極的な態度を取っています。.mp3]	<b>彼女は非常に積極的な態度を取っています。</b> <br> そのたいはとてもじょうひんでした。 <br><br> (態度) <br> The manner was very elegant.
彼女は非常に積極的な態度を取っています。 <br><br> (態度)	<b>そのたいはとてもじょうひんでした。</b> <br> The manner was very elegant. <br> [sound:4c-s-彼女は非常に積極的な態度を取っています。.mp3]
The manner was very elegant.	<b>彼女は非常に積極的な態度を取っています。</b> <br> そのたいはとてもじょうひんでした。 <br><br> (態度) <br> [sound:4c-s-彼女は非常に積極的な態度を取っています。.mp3]
[sound:4c-k-態.mp3]	<b>態</b> <br> ざま <br> mess, sorry state, plight, sad sight; way, manner
態	<b>ざま</b> <br> mess, sorry state, plight, sad sight; way, manner <br> [sound:4c-k-態.mp3]
mess, sorry state, plight, sad sight; way, manner	<b>態</b> <br> ざま <br> [sound:4c-k-態.mp3]
[sound:4c-s-その態はとても上品でした。.mp3]	<b>その態はとても上品でした。</b> <br> あたらしいたいせいにたいおうするために、そしきはへんかくをおこないました。 <br><br> (態) <br> The organization underwent changes to adapt to the new structure.
その態はとても上品でした。 <br><br> (態)	<b>あたらしいたいせいにたいおうするために、そしきはへんかくをおこないました。</b> <br> The organization underwent changes to adapt to the new structure. <br> [sound:4c-s-その態はとても上品でした。.mp3]
The organization underwent changes to adapt to the new structure.	<b>その態はとても上品でした。</b> <br> あたらしいたいせいにたいおうするために、そしきはへんかくをおこないました。 <br><br> (態) <br> [sound:4c-s-その態はとても上品でした。.mp3]
[sound:4c-k-態勢.mp3]	<b>態勢</b> <br> たいせい <br> attitude, conditions, preparations
態勢	<b>たいせい</b> <br> attitude, conditions, preparations <br> [sound:4c-k-態勢.mp3]
attitude, conditions, preparations	<b>態勢</b> <br> たいせい <br> [sound:4c-k-態勢.mp3]
[sound:4c-s-新しい態勢に対応するために、組織は変革を行いました。.mp3]	<b>新しい態勢に対応するために、組織は変革を行いました。</b> <br> このしょうひんはたようなけいたいではんばいされています。 <br><br> (態勢) <br> This product is sold in various forms.
新しい態勢に対応するために、組織は変革を行いました。 <br><br> (態勢)	<b>このしょうひんはたようなけいたいではんばいされています。</b> <br> This product is sold in various forms. <br> [sound:4c-s-新しい態勢に対応するために、組織は変革を行いました。.mp3]
This product is sold in various forms.	<b>新しい態勢に対応するために、組織は変革を行いました。</b> <br> このしょうひんはたようなけいたいではんばいされています。 <br><br> (態勢) <br> [sound:4c-s-新しい態勢に対応するために、組織は変革を行いました。.mp3]
[sound:4c-k-形態.mp3]	<b>形態</b> <br> けいたい <br> form, shape, figure
形態	<b>けいたい</b> <br> form, shape, figure <br> [sound:4c-k-形態.mp3]
form, shape, figure	<b>形態</b> <br> けいたい <br> [sound:4c-k-形態.mp3]
[sound:4c-s-この商品は多様な形態で販売されています。.mp3]	<b>この商品は多様な形態で販売されています。</b> <br> はんどうたいぎじゅつはげんだいのでんしききにかかせません。 <br><br> (形態) <br> Semiconductor technology is indispensable for modern electronics.
この商品は多様な形態で販売されています。 <br><br> (形態)	<b>はんどうたいぎじゅつはげんだいのでんしききにかかせません。</b> <br> Semiconductor technology is indispensable for modern electronics. <br> [sound:4c-s-この商品は多様な形態で販売されています。.mp3]
Semiconductor technology is indispensable for modern electronics.	<b>この商品は多様な形態で販売されています。</b> <br> はんどうたいぎじゅつはげんだいのでんしききにかかせません。 <br><br> (形態) <br> [sound:4c-s-この商品は多様な形態で販売されています。.mp3]
[sound:4c-k-半導体.mp3]	<b>半導体</b> <br> はんどうたい <br> semiconductor, solid-state
半導体	<b>はんどうたい</b> <br> semiconductor, solid-state <br> [sound:4c-k-半導体.mp3]
semiconductor, solid-state	<b>半導体</b> <br> はんどうたい <br> [sound:4c-k-半導体.mp3]
[sound:4c-s-半導体技術は現代の電子機器に欠かせません。.mp3]	<b>半導体技術は現代の電子機器に欠かせません。</b> <br> かれはぷろじぇくとのしゅどうけんをにぎっています。 <br><br> (半導体) <br> He has control over the leadership of the project.
半導体技術は現代の電子機器に欠かせません。 <br><br> (半導体)	<b>かれはぷろじぇくとのしゅどうけんをにぎっています。</b> <br> He has control over the leadership of the project. <br> [sound:4c-s-半導体技術は現代の電子機器に欠かせません。.mp3]
He has control over the leadership of the project.	<b>半導体技術は現代の電子機器に欠かせません。</b> <br> かれはぷろじぇくとのしゅどうけんをにぎっています。 <br><br> (半導体) <br> [sound:4c-s-半導体技術は現代の電子機器に欠かせません。.mp3]
[sound:4c-k-主導権.mp3]	<b>主導権</b> <br> しゅどうけん <br> hegemony, leadership, initiative
主導権	<b>しゅどうけん</b> <br> hegemony, leadership, initiative <br> [sound:4c-k-主導権.mp3]
hegemony, leadership, initiative	<b>主導権</b> <br> しゅどうけん <br> [sound:4c-k-主導権.mp3]
[sound:4c-s-彼はプロジェクトの主導権を握っています。.mp3]	<b>彼はプロジェクトの主導権を握っています。</b> <br> そのかんばんはほうもんしゃをかいじょうへゆうどうします。 <br><br> (主導権) <br> The sign directs visitors to the venue.
彼はプロジェクトの主導権を握っています。 <br><br> (主導権)	<b>そのかんばんはほうもんしゃをかいじょうへゆうどうします。</b> <br> The sign directs visitors to the venue. <br> [sound:4c-s-彼はプロジェクトの主導権を握っています。.mp3]
The sign directs visitors to the venue.	<b>彼はプロジェクトの主導権を握っています。</b> <br> そのかんばんはほうもんしゃをかいじょうへゆうどうします。 <br><br> (主導権) <br> [sound:4c-s-彼はプロジェクトの主導権を握っています。.mp3]
[sound:4c-k-誘導.mp3]	<b>誘導</b> <br> ゆうどう <br> guidance, leading, induction, introduction, incitement, inducement
誘導	<b>ゆうどう</b> <br> guidance, leading, induction, introduction, incitement, inducement <br> [sound:4c-k-誘導.mp3]
guidance, leading, induction, introduction, incitement, inducement	<b>誘導</b> <br> ゆうどう <br> [sound:4c-k-誘導.mp3]
[sound:4c-s-その看板は訪問者を会場へ誘導します。.mp3]	<b>その看板は訪問者を会場へ誘導します。</b> <br> ちょうでんどうぎじゅつはしょうらいのでんりょくきょうきゅうにかくめいをもたらすかもしれません。 <br><br> (誘導) <br> Superconducting technology may revolutionize future power supply.
その看板は訪問者を会場へ誘導します。 <br><br> (誘導)	<b>ちょうでんどうぎじゅつはしょうらいのでんりょくきょうきゅうにかくめいをもたらすかもしれません。</b> <br> Superconducting technology may revolutionize future power supply. <br> [sound:4c-s-その看板は訪問者を会場へ誘導します。.mp3]
Superconducting technology may revolutionize future power supply.	<b>その看板は訪問者を会場へ誘導します。</b> <br> ちょうでんどうぎじゅつはしょうらいのでんりょくきょうきゅうにかくめいをもたらすかもしれません。 <br><br> (誘導) <br> [sound:4c-s-その看板は訪問者を会場へ誘導します。.mp3]
[sound:4c-k-超電導.mp3]	<b>超電導</b> <br> ちょうでんどう <br> superconductivity
超電導	<b>ちょうでんどう</b> <br> superconductivity <br> [sound:4c-k-超電導.mp3]
superconductivity	<b>超電導</b> <br> ちょうでんどう <br> [sound:4c-k-超電導.mp3]
[sound:4c-s-超電導技術は将来の電力供給に革命をもたらすかもしれません。.mp3]	<b>超電導技術は将来の電力供給に革命をもたらすかもしれません。</b> <br> ちょうせんみんしゅしゅぎじんみんきょうわこくは、ほくとうアジアにいちしています。 <br><br> (超電導) <br> The Democratic People's Republic of Korea is located in Northeast Asia.
超電導技術は将来の電力供給に革命をもたらすかもしれません。 <br><br> (超電導)	<b>ちょうせんみんしゅしゅぎじんみんきょうわこくは、ほくとうアジアにいちしています。</b> <br> The Democratic People's Republic of Korea is located in Northeast Asia. <br> [sound:4c-s-超電導技術は将来の電力供給に革命をもたらすかもしれません。.mp3]
The Democratic People's Republic of Korea is located in Northeast Asia.	<b>超電導技術は将来の電力供給に革命をもたらすかもしれません。</b> <br> ちょうせんみんしゅしゅぎじんみんきょうわこくは、ほくとうアジアにいちしています。 <br><br> (超電導) <br> [sound:4c-s-超電導技術は将来の電力供給に革命をもたらすかもしれません。.mp3]
[sound:4c-k-朝鮮民主主義人民共和国.mp3]	<b>朝鮮民主主義人民共和国</b> <br> ちょうせんみんしゅしゅぎじんみんきょうわこく <br> Democratic People's Republic of Korea (North Korea), DPRK
朝鮮民主主義人民共和国	<b>ちょうせんみんしゅしゅぎじんみんきょうわこく</b> <br> Democratic People's Republic of Korea (North Korea), DPRK <br> [sound:4c-k-朝鮮民主主義人民共和国.mp3]
Democratic People's Republic of Korea (North Korea), DPRK	<b>朝鮮民主主義人民共和国</b> <br> ちょうせんみんしゅしゅぎじんみんきょうわこく <br> [sound:4c-k-朝鮮民主主義人民共和国.mp3]
[sound:4c-s-朝鮮民主主義人民共和国は、北東アジアに位置しています。.mp3]	<b>朝鮮民主主義人民共和国は、北東アジアに位置しています。</b> <br> ちょうせんはんとうは、ちゅうごくとにほんのあいだにあります。 <br><br> (朝鮮民主主義人民共和国) <br> The Korean Peninsula lies between China and Japan.
朝鮮民主主義人民共和国は、北東アジアに位置しています。 <br><br> (朝鮮民主主義人民共和国)	<b>ちょうせんはんとうは、ちゅうごくとにほんのあいだにあります。</b> <br> The Korean Peninsula lies between China and Japan. <br> [sound:4c-s-朝鮮民主主義人民共和国は、北東アジアに位置しています。.mp3]
The Korean Peninsula lies between China and Japan.	<b>朝鮮民主主義人民共和国は、北東アジアに位置しています。</b> <br> ちょうせんはんとうは、ちゅうごくとにほんのあいだにあります。 <br><br> (朝鮮民主主義人民共和国) <br> [sound:4c-s-朝鮮民主主義人民共和国は、北東アジアに位置しています。.mp3]
