[sound:k-2254_昨春.mp3]	last spring, the spring of last year<br> <b>昨春</b> <br> (さくしゅん)
[sound:s-2349_東北地方では冬には雪がよく降ります。.mp3]	(<b>東北</b>) 東北地方では冬には雪がよく降ります。<br> とうほくちほうではふゆにはゆきがよくふります。 <br>Snowfall is frequent in winter in the Tohoku region.	
示す	[sound:k-2360_示す.mp3]<br>しめす <br> to denote, to show, to point out, to indicate, to exemplify
to denote, to show, to point out, to indicate, to exemplify	<b>示す<b> <br> しめす <br>[sound:k-2360_示す.mp3]
[sound:k-2360_示す.mp3]	to denote, to show, to point out, to indicate, to exemplify<br> <b>示す</b> <br> (しめす)
(<b>若者</b>) 若者たちは将来に希望を持っています。	[sound:s-2360_若者たちは将来に希望を持っています。.mp3] <br> わかものたちはしょうらいにきぼうをもっています。 <br> Young people have hope for the future.
[sound:s-2350_東欧諸国の文化は多様で豊かです。.mp3]	(<b>東欧</b>) 東欧諸国の文化は多様で豊かです。<br> とうおうしょこくのぶんかはたようでゆたかです。 <br>The culture of Eastern European countries is diverse and rich.	
指示	[sound:k-2361_指示.mp3]<br>しじ <br> indication, instruction, designation, directions
indication, instruction, designation, directions	<b>指示<b> <br> しじ <br>[sound:k-2361_指示.mp3]
[sound:k-2361_指示.mp3]	indication, instruction, designation, directions<br> <b>指示</b> <br> (しじ)
(<b>消費者</b>) 消費者は製品の品質を求めます。	[sound:s-2361_消費者は製品の品質を求めます。.mp3] <br> しょうひしゃはせいひんのひんしつをもとめます。 <br> Consumers seek product quality.
[sound:s-2351_東西の文化の違いを研究しています。.mp3]	(<b>東西</b>) 東西の文化の違いを研究しています。<br> とうざいのぶんかのちがいをけんきゅうしています。 <br>I am researching the differences between Eastern and Western cultures.	
表示	[sound:k-2362_表示.mp3]<br>ひょうじ <br> indication, expression, display, presentation
indication, expression, display, presentation	<b>表示<b> <br> ひょうじ <br>[sound:k-2362_表示.mp3]
[sound:k-2362_表示.mp3]	indication, expression, display, presentation<br> <b>表示</b> <br> (ひょうじ)
(<b>労働者</b>) 労働者は労働条件の改善を要求しています。	[sound:s-2362_労働者は労働条件の改善を要求しています。.mp3] <br> ろうどうしゃはろうどうじょうけんのかいぜんをようきゅうしています。 <br> Workers are demanding improvements in working conditions.
[sound:s-2352_その国は東南アジアに位置しています。.mp3]	(<b>東南</b>) その国は東南アジアに位置しています。<br> そのくにはとうなんアジアにいちしています。 <br>The country is located in Southeast Asia.	
展示	[sound:k-2363_展示.mp3]<br>てんじ <br> exhibition, display
exhibition, display	<b>展示<b> <br> てんじ <br>[sound:k-2363_展示.mp3]
[sound:k-2363_展示.mp3]	exhibition, display<br> <b>展示</b> <br> (てんじ)
(<b>学者</b>) 彼は著名な歴史学者です。	[sound:s-2363_彼は著名な歴史学者です。.mp3] <br> かれはちょめいなれきしかがくしゃです。 <br> He is a prominent historian.
[sound:s-2353_東芝は電化製品の製造で有名です。.mp3]	(<b>東芝</b>) 東芝は電化製品の製造で有名です。<br> とうしばはでんかせいひんのせいぞうでゆうめいです。 <br>Toshiba is famous for manufacturing electrical appliances.	
開示	[sound:k-2364_開示.mp3]<br>かいじ <br> disclosure (legal)
disclosure (legal)	<b>開示<b> <br> かいじ <br>[sound:k-2364_開示.mp3]
[sound:k-2364_開示.mp3]	disclosure<br> <b>legal) (開示</b> <br> (かいじ)
(<b>経営者</b>) 彼は会社の経営者です。	[sound:s-2364_彼は会社の経営者です。.mp3] <br> かれはかいしゃのけいえいしゃです。 <br> He is the manager of the company.
[sound:s-2354_東洋の文化には古い伝統が根付いています。.mp3]	(<b>東洋</b>) 東洋の文化には古い伝統が根付いています。<br> とうようのぶんかにはふるいでんとうがねづいています。 <br>Eastern culture is rooted in ancient traditions.	
告示	[sound:k-2365_告示.mp3]<br>こくじ <br> notice, bulletin
notice, bulletin	<b>告示<b> <br> こくじ <br>[sound:k-2365_告示.mp3]
[sound:k-2365_告示.mp3]	notice, bulletin<br> <b>告示</b> <br> (こくじ)
(<b>党</b>) 彼は政治党に所属しています。	[sound:s-2365_彼は政治党に所属しています。.mp3] <br> かれはせいじとうにしょぞくしています。 <br> He belongs to a political party.
[sound:s-2355_病院にはたくさんの患者がいる。.mp3]	(<b>患者</b>) 病院にはたくさんの患者がいる。<br> びょういんにはたくさんのかんじゃがいる。 <br>There are many patients in the hospital.	
公示	[sound:k-2366_公示.mp3]<br>こうじ, こうし <br> edict, public announcement
edict, public announcement	<b>公示<b> <br> こうじ, こうし <br>[sound:k-2366_公示.mp3]
[sound:k-2366_公示.mp3]	edict, public announcement<br> <b>公示</b> <br> (こうじ, こうし)
(<b>共産党</b>) その国には共産党が存在します。	[sound:s-2366_その国には共産党が存在します。.mp3] <br> そのくににはきょうさんとうがそんざいします。 <br> There is a communist party in that country.
[sound:s-2356_会議には関係者だけが参加できます。.mp3]	(<b>関係者</b>) 会議には関係者だけが参加できます。<br> かいぎにはかんけいしゃだけがさんかできます。 <br>Only stakeholders can participate in the meeting.	
示し	[sound:k-2367_示し.mp3]<br>しめし <br> discipline, revelation
discipline, revelation	<b>示し<b> <br> しめし <br>[sound:k-2367_示し.mp3]
[sound:k-2367_示し.mp3]	discipline, revelation<br> <b>示し</b> <br> (しめし)
(<b>社会党</b>) 昔は社会党が政権を握っていました。	[sound:s-2367_昔は社会党が政権を握っていました。.mp3] <br> むかしはしゃかいとうがせいけんをにぎっていました。 <br> The socialist party used to hold power in the past.
[sound:s-2357_彼は新聞社の記者です。.mp3]	(<b>記者</b>) 彼は新聞社の記者です。<br> かれはしんぶんしゃのきしゃです。 <br>He is a journalist for a newspaper company.	
提示	[sound:k-2368_提示.mp3]<br>ていじ <br> presentation, exhibit, suggest, citation
presentation, exhibit, suggest, citation	<b>提示<b> <br> ていじ <br>[sound:k-2368_提示.mp3]
[sound:k-2368_提示.mp3]	presentation, exhibit, suggest, citation<br> <b>提示</b> <br> (ていじ)
(<b>新党</b>) 新党が選挙で注目されています。	[sound:s-2368_新党が選挙で注目されています。.mp3] <br> しんとうがせんきょでちゅうもくされています。 <br> The new party is getting attention in the election.
[sound:s-2358_彼は地元の業者と取引しています。.mp3]	(<b>業者</b>) 彼は地元の業者と取引しています。<br> かれはじもとのぎょうしゃととりひきしています。 <br>He is doing business with local vendors.	
意思表示	[sound:k-2369_意思表示.mp3]<br>いしひょうじ <br> declaration of intention
declaration of intention	<b>意思表示<b> <br> いしひょうじ <br>[sound:k-2369_意思表示.mp3]
[sound:k-2369_意思表示.mp3]	declaration of intention<br> <b>意思表示</b> <br> (いしひょうじ)
(<b>政党</b>) 政党間の協力が必要です。	[sound:s-2369_政党間の協力が必要です。.mp3] <br> せいとうかんのきょうりょくがひつようです。 <br> Cooperation between political parties is necessary.
[sound:s-2359_彼は殺人容疑で逮捕されました。.mp3]	(<b>容疑者</b>) 彼は殺人容疑で逮捕されました。<br> かれはさつじんようぎでたいほされました。 <br>He was arrested on suspicion of murder.	
変わった	[sound:k-2370_変わった.mp3]<br>かわった <br> another, different, various, particular, unusual, novel, peculiar
another, different, various, particular, unusual, novel, peculiar	<b>変わった<b> <br> かわった <br>[sound:k-2370_変わった.mp3]
[sound:k-2370_変わった.mp3]	another, different, various, particular, unusual, novel, peculiar<br> <b>変わった</b> <br> (かわった)
(<b>野党</b>) 野党は政府の政策に批判的です。	[sound:s-2370_野党は政府の政策に批判的です。.mp3] <br> やとうはせいふのせいさくにひはんてきです。 <br> The opposition party is critical of the government's policies.
[sound:s-2360_若者たちは将来に希望を持っています。.mp3]	(<b>若者</b>) 若者たちは将来に希望を持っています。<br> わかものたちはしょうらいにきぼうをもっています。 <br>Young people have hope for the future.	
変わらない	[sound:k-2371_変わらない.mp3]<br>かわらない <br> constant, invariant
constant, invariant	<b>変わらない<b> <br> かわらない <br>[sound:k-2371_変わらない.mp3]
[sound:k-2371_変わらない.mp3]	constant, invariant<br> <b>変わらない</b> <br> (かわらない)
(<b>与党</b>) 与党は議会で多数派を占めています。	[sound:s-2371_与党は議会で多数派を占めています。.mp3] <br> よとうはぎかいでたすうはをしめています。 <br> The ruling party holds the majority in parliament.
[sound:s-2361_消費者は製品の品質を求めます。.mp3]	(<b>消費者</b>) 消費者は製品の品質を求めます。<br> しょうひしゃはせいひんのひんしつをもとめます。 <br>Consumers seek product quality.	
変わる	[sound:k-2372_変わる.mp3]<br>かわる <br> to change, to be transformed, to vary, to be revised, to be different, to move location
to change, to be transformed, to vary, to be revised, to be different, to move location	<b>変わる<b> <br> かわる <br>[sound:k-2372_変わる.mp3]
[sound:k-2372_変わる.mp3]	to change, to be transformed, to vary, to be revised, to be different, to move location<br> <b>変わる</b> <br> (かわる)
(<b>自民党</b>) 自民党は日本の主要な政党の一つです。	[sound:s-2372_自民党は日本の主要な政党の一つです。.mp3] <br> じみんとうはにほんのしゅようなせいとうのひとつです。 <br> The Liberal Democratic Party is one of the major political parties in Japan.
[sound:s-2362_労働者は労働条件の改善を要求しています。.mp3]	(<b>労働者</b>) 労働者は労働条件の改善を要求しています。<br> ろうどうしゃはろうどうじょうけんのかいぜんをようきゅうしています。 <br>Workers are demanding improvements in working conditions.	
変わり	[sound:k-2373_変わり.mp3]<br>かわり <br> change, alteration; unusual state or event, accident, abnormality; difference, distinction
change, alteration; unusual state or event, accident, abnormality; difference, distinction	<b>変わり<b> <br> かわり <br>[sound:k-2373_変わり.mp3]
[sound:k-2373_変わり.mp3]	change, alteration; unusual state or event, accident, abnormality; difference, distinction<br> <b>変わり</b> <br> (かわり)
(<b>党首</b>) 彼は党首としてのリーダーシップを発揮している。	[sound:s-2373_彼は党首としてのリーダーシップを発揮している。.mp3] <br> かれはとうしゅとしてのリーダーシップをはっきしている。 <br> He is demonstrating leadership as the party leader.
