[sound:s-3089_家族でピクニックに行きます。.mp3]	(<b>家族</b>) 家族でピクニックに行きます。<br> かぞくでピクニックにいきます。 <br>We're going on a picnic with the family.	
[sound:s-3199_その会社は日々の業務を効率的に行っています。.mp3]	(<b>業務</b>) その会社は日々の業務を効率的に行っています。<br> そのかいしゃはひびのぎょうむをこうりつてきにおこなっています。 <br>The company efficiently performs its daily operations.	
付近	[sound:k-3210_付近.mp3]<br>ふきん <br> neighbourhood, neighborhood, vicinity, environs; approaching
neighbourhood, neighborhood, vicinity, environs; approaching	<b>付近<b> <br> ふきん <br>[sound:k-3210_付近.mp3]
[sound:k-3210_付近.mp3]	neighbourhood, neighborhood, vicinity, environs; approaching<br> <b>付近</b> <br> (ふきん)
(<b>外相</b>) 外相は国際関係の調整を行います。	[sound:s-3210_外相は国際関係の調整を行います。.mp3] <br> かいそうはこくさいかんけいのちょうせいをおこないます。 <br> The foreign minister coordinates international relations.
[sound:s-3200_箱の中には何が入っていますか？.mp3]	(<b>内</b>) 箱の中には何が入っていますか？	はこのなかにはなにがはいっていますか？ <br>What's inside the box?
寄付	[sound:k-3211_寄付.mp3]<br>きふ <br> contribution, donation
contribution, donation	<b>寄付<b> <br> きふ <br>[sound:k-3211_寄付.mp3]
[sound:k-3211_寄付.mp3]	contribution, donation<br> <b>寄付</b> <br> (きふ)
(<b>首相</b>) 首相が記者会見を行いました。	[sound:s-3211_首相が記者会見を行いました。.mp3] <br> しゅしょうがきしゃかいけんをおこないました。 <br> The prime minister held a press conference.
[sound:s-3201_この製品は国内で生産されています。.mp3]	(<b>国内</b>) この製品は国内で生産されています。<br> このせいひんはこくないでせいさんされています。 <br>This product is manufactured domestically.	
付属	[sound:k-3212_付属.mp3]<br>ふぞく <br> attached, belonging (to), included, enclosed, affiliated, annexed, associated, subordinate, incidental, dependent, auxiliary
attached, belonging (to), included, enclosed, affiliated, annexed, associated, subordinate, incidental, dependent, auxiliary	<b>付属<b> <br> ふぞく <br>[sound:k-3212_付属.mp3]
[sound:k-3212_付属.mp3]	attached, belonging<br> <b>to), included, enclosed, affiliated, annexed, associated, subordinate, incidental, dependent, auxiliary (付属</b> <br> (ふぞく)
(<b>相手</b>) 相手の意見を尊重することが重要です。	[sound:s-3212_相手の意見を尊重することが重要です。.mp3] <br> あいてのいけんをそんちょうすることがしゅうようです。 <br> It's important to respect the other party's opinion.
[sound:s-3202_町の中心には市内で買い物をします。.mp3]	(<b>市内 (repeated)</b>) 町の中心には市内で買い物をします。<br> まちのちゅうしんにはいちないでかいものをします。 <br>People shop within the city center.	
交付	[sound:k-3213_交付.mp3]<br>こうふ <br> delivering, handing over, furnishing (e.g. with copies), issuance, issuing
delivering, handing over, furnishing (e.g. with copies), issuance, issuing	<b>交付<b> <br> こうふ <br>[sound:k-3213_交付.mp3]
[sound:k-3213_交付.mp3]	delivering, handing over, furnishing<br> <b>e.g. with copies), issuance, issuing (交付</b> <br> (こうふ)
(<b>相談</b>) 彼女は友達と将来の計画について相談しました。	[sound:s-3213_彼女は友達と将来の計画について相談しました。.mp3] <br> かのじょはともだちとしょうらいのけいかくについてそうだんしました。 <br> She discussed future plans with her friends.
[sound:s-3203_雨の日は都内の交通が混雑します。.mp3]	(<b>都内</b>) 雨の日は都内の交通が混雑します。<br> あめのひはとないのこうつうがこんざつします。 <br>Traffic in the city gets congested on rainy days.	
付き合い	[sound:k-3214_付き合い.mp3]<br>つきあい <br> association, socializing, socialising, fellowship
association, socializing, socialising, fellowship	<b>付き合い<b> <br> つきあい <br>[sound:k-3214_付き合い.mp3]
[sound:k-3214_付き合い.mp3]	association, socializing, socialising, fellowship<br> <b>付き合い</b> <br> (つきあい)
(<b>蔵相</b>) 政府は蔵相を任命しました。	[sound:s-3214_政府は蔵相を任命しました。.mp3] <br> せいふはそうしょうをにんめいしました。 <br> The government appointed a minister of finance.
[sound:s-3204_内閣は政府の重要な部分です。.mp3]	(<b>内閣</b>) 内閣は政府の重要な部分です。<br> ないかくはせいふのじゅうようなぶぶんです。 <br>The cabinet is an important part of the government.	
貸付	[sound:k-3215_貸付.mp3]<br>かしつけ <br> loan
loan	<b>貸付<b> <br> かしつけ <br>[sound:k-3215_貸付.mp3]
[sound:k-3215_貸付.mp3]	loan<br> <b>貸付</b> <br> (かしつけ)
(<b>相互</b>) 相互の理解が重要です。	[sound:s-3215_相互の理解が重要です。.mp3] <br> そうごのりかいがしゅうようです。 <br> Mutual understanding is important.
[sound:s-3205_この本の内容は非常に興味深いです。.mp3]	(<b>内容</b>) この本の内容は非常に興味深いです。<br> このほんのないようはひじょうにきょうみぶかいです。 <br>The contents of this book are very interesting.	
日付	[sound:k-3216_日付.mp3]<br>ひづけ <br> date, dating
date, dating	<b>日付<b> <br> ひづけ <br>[sound:k-3216_日付.mp3]
[sound:k-3216_日付.mp3]	date, dating<br> <b>日付</b> <br> (ひづけ)
(<b>相場</b>) 株式市場の相場は日々変動しています。	[sound:s-3216_株式市場の相場は日々変動しています。.mp3] <br> かぶしきしじょうのそうばはひびへんどうしています。 <br> Stock market prices fluctuate daily.
[sound:s-3206_到着は10分以内に予定されています。.mp3]	(<b>以内</b>) 到着は10分以内に予定されています。<br> とうちゃくはじゅっぷんいないによていされています。 <br>Arrival is scheduled within 10 minutes.	
付き	[sound:k-3217_付き.mp3]<br>つき, づき, ツキ <br> furnished with, including; attached to; impression, appearance; luck; sociality; under, assistant (e.g. to a manager); soup base
furnished with, including; attached to; impression, appearance; luck; sociality; under, assistant (e.g. to a manager); soup base	<b>付き<b> <br> つき, づき, ツキ <br>[sound:k-3217_付き.mp3]
[sound:k-3217_付き.mp3]	furnished with, including; attached to; impression, appearance; luck; sociality; under, assistant<br> <b>e.g. to a manager); soup base (付き</b> <br> (つき, づき, ツキ)
(<b>相当</b>) その行動は相当なリスクを伴います。	[sound:s-3217_その行動は相当なリスクを伴います。.mp3] <br> そのこうどうはそうとうなりすくをともないます。 <br> That action involves considerable risk.
[sound:s-3207_党内での議論が活発化しています。.mp3]	(<b>党内</b>) 党内での議論が活発化しています。<br> とうないでのぎろんがかっぱつかしています。 <br>Discussions within the party are becoming lively.	
給付	[sound:k-3218_給付.mp3]<br>きゅうふ <br> payment, provision, benefit, present, delivery; performance
payment, provision, benefit, present, delivery; performance	<b>給付<b> <br> きゅうふ <br>[sound:k-3218_給付.mp3]
[sound:k-3218_給付.mp3]	payment, provision, benefit, present, delivery; performance<br> <b>給付</b> <br> (きゅうふ)
(<b>相撲</b>) 相撲は日本の伝統的なスポーツです。	[sound:s-3218_相撲は日本の伝統的なスポーツです。.mp3] <br> すもうはにほんのでんとうてきなすぽーつです。 <br> Sumo wrestling is a traditional Japanese sport.
[sound:s-3208_システムの内部に問題が発生しました。.mp3]	(<b>内部</b>) システムの内部に問題が発生しました。<br> しぜむのないぶにもんだいがはっせいしました。 <br>There was an issue within the system.	
条件付き	[sound:k-3219_条件付き.mp3]<br>じょうけんつき <br> conditionally, with conditions attached
conditionally, with conditions attached	<b>条件付き<b> <br> じょうけんつき <br>[sound:k-3219_条件付き.mp3]
[sound:k-3219_条件付き.mp3]	conditionally, with conditions attached<br> <b>条件付き</b> <br> (じょうけんつき)
(<b>真相</b>) 事件の真相が明らかにされました。	[sound:s-3219_事件の真相が明らかにされました。.mp3] <br> じけんのしんそうがあきらかにされました。 <br> The truth behind the incident was revealed.
[sound:s-3209_県内の交通網を改善する必要があります。.mp3]	(<b>県内</b>) 県内の交通網を改善する必要があります。<br> けんないのこうつうもうをかいぜんするひつようがあります。 <br>There is a need to improve the transportation network within the prefecture.	
施設	[sound:k-3220_施設.mp3]<br>しせつ <br> institution, establishment, facility; (army) engineer
institution, establishment, facility; (army) engineer	<b>施設<b> <br> しせつ <br>[sound:k-3220_施設.mp3]
[sound:k-3220_施設.mp3]	institution, establishment, facility;<br> <b>army) engineer (施設</b> <br> (しせつ)
(<b>一方</b>) 彼は学校に行く一方、彼女は家で勉強している。	[sound:s-3220_彼は学校に行く一方、彼女は家で勉強している。.mp3] <br> かれはがっこうにいくいっぽう、かのじょはいえでべんきょうしている。 <br> While he goes to school, she studies at home.
[sound:s-3210_外相は国際関係の調整を行います。.mp3]	(<b>外相</b>) 外相は国際関係の調整を行います。<br> かいそうはこくさいかんけいのちょうせいをおこないます。 <br>The foreign minister coordinates international relations.	
実施	[sound:k-3221_実施.mp3]<br>じっし <br> enforcement, implementation, putting into practice (practise), carrying out, operation, working (e.g. working parameters), enactment
enforcement, implementation, putting into practice (practise), carrying out, operation, working (e.g. working parameters), enactment	<b>実施<b> <br> じっし <br>[sound:k-3221_実施.mp3]
[sound:k-3221_実施.mp3]	enforcement, implementation, putting into practice<br> <b>practise), carrying out, operation, working (e.g. working parameters), enactment (実施</b> <br> (じっし)
(<b>見方</b>) 問題に対する様々な見方があります。	[sound:s-3221_問題に対する様々な見方があります。.mp3] <br> もんだいにたいするようだんなみかたがあります。 <br> There are various perspectives on the issue.
[sound:s-3211_首相が記者会見を行いました。.mp3]	(<b>首相</b>) 首相が記者会見を行いました。<br> しゅしょうがきしゃかいけんをおこないました。 <br>The prime minister held a press conference.	
布施	[sound:k-3222_布施.mp3]<br>ふせ <br> alms, offerings
alms, offerings	<b>布施<b> <br> ふせ <br>[sound:k-3222_布施.mp3]
[sound:k-3222_布施.mp3]	alms, offerings<br> <b>布施</b> <br> (ふせ)
(<b>地方</b>) 彼らは地方の文化に興味を持っています。	[sound:s-3222_彼らは地方の文化に興味を持っています。.mp3] <br> かれらはちほうのぶんかにきょうみをもっています。 <br> They are interested in the local culture.
[sound:s-3212_相手の意見を尊重することが重要です。.mp3]	(<b>相手</b>) 相手の意見を尊重することが重要です。<br> あいてのいけんをそんちょうすることがしゅうようです。 <br>It's important to respect the other party's opinion.	
