[sound:k-3663_宮殿.mp3]	palace<br> <b>宮殿</b> <br> (きゅうでん)
[sound:s-3756_この行動には深い意義があります。.mp3]	(<b>意義</b>) この行動には深い意義があります。<br> このこうどうにはふかいいぎがあります。 <br>There is profound significance in this action.	
名乗り	[sound:k-3767_名乗り.mp3]<br>なのり <br> name readings of kanji; self-introduction; announcement of candidature
name readings of kanji; self-introduction; announcement of candidature	<b>名乗り<b> <br> なのり <br>[sound:k-3767_名乗り.mp3]
[sound:k-3767_名乗り.mp3]	name readings of kanji; self-introduction; announcement of candidature<br> <b>名乗り</b> <br> (なのり)
(<b>不況</b>) 経済は不況に陥っています。	[sound:s-3767_経済は不況に陥っています。.mp3] <br> けいざいはふきょうにおちいっています。 <br> The economy is in recession.
[sound:s-3757_国の憲法は国民の権利を保護します。.mp3]	(<b>憲法</b>) 国の憲法は国民の権利を保護します。<br> くにのけんぽうはこくみんのけんりをほごします。 <br>The constitution of the country protects the rights of the citizens.	
搭乗	[sound:k-3768_搭乗.mp3]<br>とうじょう <br> embarkation, boarding (an aeroplane, airplane)
embarkation, boarding (an aeroplane, airplane)	<b>搭乗<b> <br> とうじょう <br>[sound:k-3768_搭乗.mp3]
[sound:k-3768_搭乗.mp3]	embarkation, boarding<br> <b>an aeroplane, airplane) (搭乗</b> <br> (とうじょう)
(<b>不安</b>) 彼は将来について不安を感じています。	[sound:s-3768_彼は将来について不安を感じています。.mp3] <br> かれはしょうらいについてふあんをかんじています。 <br> He feels anxious about the future.
[sound:s-3758_この問題にはいくつかの解決方法があります。.mp3]	(<b>方法</b>) この問題にはいくつかの解決方法があります。<br> このもんだいにはいくつかのかいけつほうほうがあります。 <br>There are several methods for solving this problem.	
乗車	[sound:k-3769_乗車.mp3]<br>じょうしゃ <br> taking a train, bus, etc., entraining
taking a train, bus, etc., entraining	<b>乗車<b> <br> じょうしゃ <br>[sound:k-3769_乗車.mp3]
[sound:k-3769_乗車.mp3]	taking a train, bus, etc., entraining<br> <b>乗車</b> <br> (じょうしゃ)
(<b>不足</b>) 食料品が不足しています。	[sound:s-3769_食料品が不足しています。.mp3] <br> しょくりょうひんがふそくしています。 <br> There is a shortage of groceries.
[sound:s-3759_新しい法案が国会で審議されます。.mp3]	(<b>法案</b>) 新しい法案が国会で審議されます。<br> あたらしいほうあんがこっかいでしんぎされます。 <br>The new bill will be discussed in the parliament.	
支店	[sound:k-3770_支店.mp3]<br>してん <br> branch store (office)
branch store (office)	<b>支店<b> <br> してん <br>[sound:k-3770_支店.mp3]
[sound:k-3770_支店.mp3]	branch store<br> <b>office) (支店</b> <br> (してん)
(<b>不動産</b>) 彼は不動産業に従事しています。	[sound:s-3770_彼は不動産業に従事しています。.mp3] <br> かれはふどうさんぎょうにじゅうじしています。 <br> He is engaged in real estate business.
[sound:s-3760_その企業は法人格を持っています。.mp3]	(<b>法人</b>) その企業は法人格を持っています。<br> そのきぎょうはほうじんかくをもっています。 <br>The company has a legal personality.	
百貨店	[sound:k-3771_百貨店.mp3]<br>ひゃっかてん <br> (department) store(s)
(department) store(s)	<b>百貨店<b> <br> ひゃっかてん <br>[sound:k-3771_百貨店.mp3]
[sound:k-3771_百貨店.mp3]	(department) store(s)<br> <b>百貨店</b> <br> (ひゃっかてん)
(<b>不満</b>) 彼は仕事に不満を持っています。	[sound:s-3771_彼は仕事に不満を持っています。.mp3] <br> かれはしごとにふまんをもっています。 <br> He is dissatisfied with his job.
[sound:s-3761_法律を守ることは重要です。.mp3]	(<b>法律</b>) 法律を守ることは重要です。<br> ほうりつをまもることはじゅうようです。 <br>It is important to obey the law.	
書店	[sound:k-3772_書店.mp3]<br>しょてん <br> bookshop, bookstore
bookshop, bookstore	<b>書店<b> <br> しょてん <br>[sound:k-3772_書店.mp3]
[sound:k-3772_書店.mp3]	bookshop, bookstore<br> <b>書店</b> <br> (しょてん)
(<b>不明</b>) 原因はまだ不明です。	[sound:s-3772_原因はまだ不明です。.mp3] <br> げんいんはまだふめいです。 <br> The cause is still unknown.
[sound:s-3762_司法制度が公平であることが重要です。.mp3]	(<b>司法</b>) 司法制度が公平であることが重要です。<br> しほうせいどがこうへいであることがじゅうようです。 <br>It is important for the judicial system to be fair.	
店舗	[sound:k-3773_店舗.mp3]<br>てんぽ <br> shop, store
shop, store	<b>店舗<b> <br> てんぽ <br>[sound:k-3773_店舗.mp3]
[sound:k-3773_店舗.mp3]	shop, store<br> <b>店舗</b> <br> (てんぽ)
(<b>心不全</b>) 心不全で入院しています。	[sound:s-3773_心不全で入院しています。.mp3] <br> しんふぜんでにゅういんしています。 <br> He is hospitalized with heart failure.
[sound:s-3763_その詐欺師の手法は巧妙です。.mp3]	(<b>手法</b>) その詐欺師の手法は巧妙です。<br> そのさぎしのしゅほうはこうみょうです。 <br>The fraudster's methods are cunning.	
商店	[sound:k-3774_商店.mp3]<br>しょうてん <br> shop, small store, business, firm
shop, small store, business, firm	<b>商店<b> <br> しょうてん <br>[sound:k-3774_商店.mp3]
[sound:k-3774_商店.mp3]	shop, small store, business, firm<br> <b>商店</b> <br> (しょうてん)
(<b>不信</b>) 彼の言葉には不信感がある。	[sound:s-3774_彼の言葉には不信感がある。.mp3] <br> かれのことばにはふしんかんがある。 <br> There is a lack of trust in his words.
[sound:s-3764_裁判は法廷で行われます。.mp3]	(<b>法廷</b>) 裁判は法廷で行われます。<br> さいばんはほうていでおこなわれます。 <br>Trials are held in the courtroom.	
店頭	[sound:k-3775_店頭.mp3]<br>てんとう <br> shop front, counter, shop, over-the-counter (financial)
shop front, counter, shop, over-the-counter (financial)	<b>店頭<b> <br> てんとう <br>[sound:k-3775_店頭.mp3]
[sound:k-3775_店頭.mp3]	shop front, counter, shop, over-the-counter<br> <b>financial) (店頭</b> <br> (てんとう)
(<b>不祥事</b>) その政治家は不祥事を起こしました。	[sound:s-3775_その政治家は不祥事を起こしました。.mp3] <br> そのせいじかはふしょうじをおこしました。 <br> The politician was involved in a scandal.
[sound:s-3765_その問題は法的な解決を要します。.mp3]	(<b>法的</b>) その問題は法的な解決を要します。<br> そのもんだいはほうてきなかいけつをいします。 <br>The issue requires a legal solution.	
本店	[sound:k-3776_本店.mp3]<br>ほんてん <br> head office
head office	<b>本店<b> <br> ほんてん <br>[sound:k-3776_本店.mp3]
[sound:k-3776_本店.mp3]	head office<br> <b>本店</b> <br> (ほんてん)
(<b>不振</b>) 彼のビジネスは不振です。	[sound:s-3776_彼のビジネスは不振です。.mp3] <br> かれのびじねすはふしんです。 <br> His business is in a slump.
[sound:s-3766_国会は法律を制定する権限があります。.mp3]	(<b>立法</b>) 国会は法律を制定する権限があります。<br> こっかいはほうりつをせいていするけんげんがあります。 <br>The parliament has the authority to enact laws.	
支店長	[sound:k-3777_支店長.mp3]<br>してんちょう <br> branch manager, manager of a branch office
branch manager, manager of a branch office	<b>支店長<b> <br> してんちょう <br>[sound:k-3777_支店長.mp3]
[sound:k-3777_支店長.mp3]	branch manager, manager of a branch office<br> <b>支店長</b> <br> (してんちょう)
(<b>来</b>) 明日は来年のイベントについて話し合いましょう。	[sound:s-3777_明日は来年のイベントについて話し合いましょう。.mp3] <br> あしたはらいねんのいべんとについてはなしあいましょう。 <br> Let's discuss tomorrow about next year's event.
[sound:s-3767_経済は不況に陥っています。.mp3]	(<b>不況</b>) 経済は不況に陥っています。<br> けいざいはふきょうにおちいっています。 <br>The economy is in recession.	
代理店	[sound:k-3778_代理店.mp3]<br>だいりてん <br> agent, agency
agent, agency	<b>代理店<b> <br> だいりてん <br>[sound:k-3778_代理店.mp3]
[sound:k-3778_代理店.mp3]	agent, agency<br> <b>代理店</b> <br> (だいりてん)
(<b>以来</b>) その事件以来、彼は変わりました。	[sound:s-3778_その事件以来、彼は変わりました。.mp3] <br> そのじけんいらい、かれはかわりました。 <br> Since that incident, he has changed.
[sound:s-3768_彼は将来について不安を感じています。.mp3]	(<b>不安</b>) 彼は将来について不安を感じています。<br> かれはしょうらいについてふあんをかんじています。 <br>He feels anxious about the future.	
店員	[sound:k-3779_店員.mp3]<br>てんいん <br> shop assistant, employee, clerk, salesperson
shop assistant, employee, clerk, salesperson	<b>店員<b> <br> てんいん <br>[sound:k-3779_店員.mp3]
[sound:k-3779_店員.mp3]	shop assistant, employee, clerk, salesperson<br> <b>店員</b> <br> (てんいん)
(<b>従来</b>) 従来の方法では解決できないかもしれません。	[sound:s-3779_従来の方法では解決できないかもしれません。.mp3] <br> じゅうらいのほうほうではかいけつできないかもしれません。 <br> The problem may not be solvable with the conventional method.
[sound:s-3769_食料品が不足しています。.mp3]	(<b>不足</b>) 食料品が不足しています。<br> しょくりょうひんがふそくしています。 <br>There is a shortage of groceries.	
供述	[sound:k-3780_供述.mp3]<br>きょうじゅつ <br> affidavit, deposition, testimony
affidavit, deposition, testimony	<b>供述<b> <br> きょうじゅつ <br>[sound:k-3780_供述.mp3]
[sound:k-3780_供述.mp3]	affidavit, deposition, testimony<br> <b>供述</b> <br> (きょうじゅつ)
(<b>将来</b>) 彼は将来医者になりたいと思っています。	[sound:s-3780_彼は将来医者になりたいと思っています。.mp3] <br> かれはしょうらいいしゃになりたいとおもっています。 <br> He wants to become a doctor in the future.
[sound:s-3770_彼は不動産業に従事しています。.mp3]	(<b>不動産</b>) 彼は不動産業に従事しています。<br> かれはふどうさんぎょうにじゅうじしています。 <br>He is engaged in real estate business.	
記述	[sound:k-3781_記述.mp3]<br>きじゅつ <br> description, descriptor
description, descriptor	<b>記述<b> <br> きじゅつ <br>[sound:k-3781_記述.mp3]
[sound:k-3781_記述.mp3]	description, descriptor<br> <b>記述</b> <br> (きじゅつ)
(<b>来年</b>) 来年はオリンピックが開催されます。	[sound:s-3781_来年はオリンピックが開催されます。.mp3] <br> らいねんはおりんぴっくがかいさいされます。 <br> The Olympics will be held next year.
[sound:s-3771_彼は仕事に不満を持っています。.mp3]	(<b>不満</b>) 彼は仕事に不満を持っています。<br> かれはしごとにふまんをもっています。 <br>He is dissatisfied with his job.	
陳述	[sound:k-3782_陳述.mp3]<br>ちんじゅつ <br> statement, declaration
statement, declaration	<b>陳述<b> <br> ちんじゅつ <br>[sound:k-3782_陳述.mp3]
[sound:k-3782_陳述.mp3]	statement, declaration<br> <b>陳述</b> <br> (ちんじゅつ)
(<b>本来</b>) 本来の目的を忘れてはいけません。	[sound:s-3782_本来の目的を忘れてはいけません。.mp3] <br> ほんらいのもくてきをわすれてはいけません。 <br> Don't forget the original purpose.
[sound:s-3772_原因はまだ不明です。.mp3]	(<b>不明</b>) 原因はまだ不明です。<br> げんいんはまだふめいです。 <br>The cause is still unknown.	
公述	[sound:k-3783_公述.mp3]<br>こうじゅつ <br> speaking at a public hearing
speaking at a public hearing	<b>公述<b> <br> こうじゅつ <br>[sound:k-3783_公述.mp3]
[sound:k-3783_公述.mp3]	speaking at a public hearing<br> <b>公述</b> <br> (こうじゅつ)
