[sound:s-0281_彼は私の前に立っています。.mp3]	<b>前</b> <br> 彼は私の前に立っています。<br> かれはわたしのまえにたっています <br>He is standing in front of me.
<b>世界</b> <br> 世界中を旅するのが夢です。	[sound:s-0392_世界中を旅するのが夢です。.mp3] <br> せかいじゅうをたびするのがゆめです。 <br>It is my dream to travel around the world.
[sound:s-0392_世界中を旅するのが夢です。.mp3]	<b>世界</b> <br> 世界中を旅するのが夢です。<br> せかいじゅうをたびするのがゆめです <br>It is my dream to travel around the world.
地球	[sound:k-0393_地球.mp3]<br>ちきゅう <br> the earth
the earth	<b>地球<b> <br> ちきゅう <br>[sound:k-0393_地球.mp3]
[sound:k-0393_地球.mp3]	the earth<br> <b>地球</b> <br> (ちきゅう)
<b>世代</b> <br> 私たちの世代はテクノロジーに囲まれて育ちました。	[sound:s-0393_私たちの世代はテクノロジーに囲まれて育ちました。.mp3] <br> わたしたちのせだいはてくのろじーにかこまれてそだちました。 <br>Our generation grew up surrounded by technology.
[sound:s-0393_私たちの世代はテクノロジーに囲まれて育ちました。.mp3]	<b>世代</b> <br> 私たちの世代はテクノロジーに囲まれて育ちました。<br> わたしたちのせだいはてくのろじーにかこまれてそだちました <br>Our generation grew up surrounded by technology.
地区	[sound:k-0394_地区.mp3]<br>ちく <br> district, section, sector
district, section, sector	<b>地区<b> <br> ちく <br>[sound:k-0394_地区.mp3]
[sound:k-0394_地区.mp3]	district, section, sector<br> <b>地区</b> <br> (ちく)
<b>世論</b> <br> 世論はその政策に反対しています。	[sound:s-0394_世論はその政策に反対しています。.mp3] <br> よろんはそのせいさくにはんたいしています。 <br>Public opinion is against that policy.
[sound:s-0394_世論はその政策に反対しています。.mp3]	<b>世論</b> <br> 世論はその政策に反対しています。<br> よろんはそのせいさくにはんたいしています <br>Public opinion is against that policy.
地元	[sound:k-0395_地元.mp3]<br>じもと <br> home area, home town; local
home area, home town; local	<b>地元<b> <br> じもと <br>[sound:k-0395_地元.mp3]
[sound:k-0395_地元.mp3]	home area, home town; local<br> <b>地元</b> <br> (じもと)
<b>世界的</b> <br> 彼は世界的な有名人です。	[sound:s-0395_彼は世界的な有名人です。.mp3] <br> かれはせかいてきなゆうめいじんです。 <br>He is a world-famous celebrity.
[sound:s-0395_彼は世界的な有名人です。.mp3]	<b>世界的</b> <br> 彼は世界的な有名人です。<br> かれはせかいてきなゆうめいじんです <br>He is a world-famous celebrity.
地方	[sound:k-0396_地方.mp3]<br>ちほう, じかた <br> area, locality, district, region, province; countryside, rural area; coast (esp. as seen from the water); person singing ballads in Noh, person in charge of music in a Japanese dance performance
area, locality, district, region, province; countryside, rural area; coast (esp. as seen from the water); person singing ballads in Noh, person in charge of music in a Japanese dance performance	<b>地方<b> <br> ちほう, じかた <br>[sound:k-0396_地方.mp3]
[sound:k-0396_地方.mp3]	area, locality, district, region, province; countryside, rural area; coast<br> <b>esp. as seen from the water); person singing ballads in Noh, person in charge of music in a Japanese dance performance (地方</b> <br> (ちほう, じかた)
<b>世紀</b> <br> この発明は新しい世紀を開くかもしれません。	[sound:s-0396_この発明は新しい世紀を開くかもしれません。.mp3] <br> このはつめいはあたらしいせいきをひらくかもしれません。 <br>This invention may open a new century.
[sound:s-0396_この発明は新しい世紀を開くかもしれません。.mp3]	<b>世紀</b> <br> この発明は新しい世紀を開くかもしれません。<br> このはつめいはあたらしいせいきをひらくかもしれません <br>This invention may open a new century.
土地	[sound:k-0397_土地.mp3]<br>とち <br> plot of land, lot, soil
plot of land, lot, soil	<b>土地<b> <br> とち <br>[sound:k-0397_土地.mp3]
[sound:k-0397_土地.mp3]	plot of land, lot, soil<br> <b>土地</b> <br> (とち)
<b>世帯</b> <br> 一人暮らしの世帯も増えています。	[sound:s-0397_一人暮らしの世帯も増えています。.mp3] <br> ひとりぐらしのせたいもふえています。 <br>The number of single-person households is increasing.
[sound:s-0397_一人暮らしの世帯も増えています。.mp3]	<b>世帯</b> <br> 一人暮らしの世帯も増えています。<br> ひとりぐらしのせたいもふえています <br>The number of single-person households is increasing.
基地	[sound:k-0398_基地.mp3]<br>きち <br> base
base	<b>基地<b> <br> きち <br>[sound:k-0398_基地.mp3]
[sound:k-0398_基地.mp3]	base<br> <b>基地</b> <br> (きち)
<b>世話</b> <br> 彼は毎日祖母の世話をしています。	[sound:s-0398_彼は毎日祖母の世話をしています。.mp3] <br> かれはまいにちそぼのせわをしています。 <br>He takes care of his grandmother every day.
[sound:s-0398_彼は毎日祖母の世話をしています。.mp3]	<b>世話</b> <br> 彼は毎日祖母の世話をしています。<br> かれはまいにちそぼのせわをしています <br>He takes care of his grandmother every day.
地検	[sound:k-0399_地検.mp3]<br>ちけん <br> District Public Prosecutor's Office
District Public Prosecutor's Office	<b>地検<b> <br> ちけん <br>[sound:k-0399_地検.mp3]
[sound:k-0399_地検.mp3]	District Public Prosecutor's Office<br> <b>地検</b> <br> (ちけん)
<b>世の中</b> <br> 世の中には不思議なことがたくさんあります。	[sound:s-0399_世の中には不思議なことがたくさんあります。.mp3] <br> よのなかにはふしぎなことがたくさんあります。 <br>There are many wonders in the world.
[sound:s-0399_世の中には不思議なことがたくさんあります。.mp3]	<b>世の中</b> <br> 世の中には不思議なことがたくさんあります。<br> よのなかにはふしぎなことがたくさんあります <br>There are many wonders in the world.
合	[sound:k-0400_合.mp3]<br>ごう <br> 0.18039 litres (liters); 0.3306 metres square (meters); one-tenth of the way from the base to the summit of a mountain; (astronomical) conjunction; counter for covered containers; counter for matches, battles, etc.
0.18039 litres (liters); 0.3306 metres square (meters); one-tenth of the way from the base to the summit of a mountain; (astronomical) conjunction; counter for covered containers; counter for matches, battles, etc.	<b>合<b> <br> ごう <br>[sound:k-0400_合.mp3]
[sound:k-0400_合.mp3]	0.18039 litres<br> <b>liters); 0.3306 metres square (meters); one-tenth of the way from the base to the summit of a mountain; (astronomical) conjunction; counter for covered containers; counter for matches, battles, etc. (合</b> <br> (ごう)
<b>世間</b> <br> 彼は世間で評判の良い人です。	[sound:s-0400_彼は世間で評判の良い人です。.mp3] <br> かれはせけんでひょうばんのよいひとです。 <br>He is well-regarded in society.
[sound:s-0400_彼は世間で評判の良い人です。.mp3]	<b>世間</b> <br> 彼は世間で評判の良い人です。<br> かれはせけんでひょうばんのよいひとです <br>He is well-regarded in society.
合意	[sound:k-0401_合意.mp3]<br>ごうい <br> agreement, consent, mutual understanding
agreement, consent, mutual understanding	<b>合意<b> <br> ごうい <br>[sound:k-0401_合意.mp3]
[sound:k-0401_合意.mp3]	agreement, consent, mutual understanding<br> <b>合意</b> <br> (ごうい)
<b>受け</b> <br> 彼女の提案は好意的に受け入れられました。	[sound:s-0401_彼女の提案は好意的に受け入れられました。.mp3] <br> かのじょのていあんはこういてきにうけいれられました。 <br>Her proposal was positively received.
[sound:s-0401_彼女の提案は好意的に受け入れられました。.mp3]	<b>受け</b> <br> 彼女の提案は好意的に受け入れられました。<br> かのじょのていあんはこういてきにうけいれられました <br>Her proposal was positively received.
試合	[sound:k-0402_試合.mp3]<br>しあい <br> match, game, bout, contest
match, game, bout, contest	<b>試合<b> <br> しあい <br>[sound:k-0402_試合.mp3]
[sound:k-0402_試合.mp3]	match, game, bout, contest<br> <b>試合</b> <br> (しあい)
<b>受験</b> <br> 彼は来週、大学受験を控えています。	[sound:s-0402_彼は来週、大学受験を控えています。.mp3] <br> かれはらいしゅう、だいがくじゅけんをひかえています。 <br>He is preparing for university entrance exams next week.
[sound:s-0402_彼は来週、大学受験を控えています。.mp3]	<b>受験</b> <br> 彼は来週、大学受験を控えています。<br> かれはらいしゅう、だいがくじゅけんをひかえています <br>He is preparing for university entrance exams next week.
連合	[sound:k-0403_連合.mp3]<br>れんごう <br> union, alliance, combination
union, alliance, combination	<b>連合<b> <br> れんごう <br>[sound:k-0403_連合.mp3]
[sound:k-0403_連合.mp3]	union, alliance, combination<br> <b>連合</b> <br> (れんごう)
<b>受け入れ</b> <br> 新しいアイデアが社内で受け入れられました。	[sound:s-0403_新しいアイデアが社内で受け入れられました。.mp3] <br> あたらしいあいであがしゃないでうけいれられました。 <br>The new idea was accepted within the company.
[sound:s-0403_新しいアイデアが社内で受け入れられました。.mp3]	<b>受け入れ</b> <br> 新しいアイデアが社内で受け入れられました。<br> あたらしいあいであがしゃないでうけいれられました <br>The new idea was accepted within the company.
総合	[sound:k-0404_総合.mp3]<br>そうごう <br> synthesis, coordination, putting together, integration, composite; comprehensive
synthesis, coordination, putting together, integration, composite; comprehensive	<b>総合<b> <br> そうごう <br>[sound:k-0404_総合.mp3]
[sound:k-0404_総合.mp3]	synthesis, coordination, putting together, integration, composite; comprehensive<br> <b>総合</b> <br> (そうごう)
<b>受賞</b> <br> 彼は昨夜、最優秀賞を受賞しました。	[sound:s-0404_彼は昨夜、最優秀賞を受賞しました。.mp3] <br> かれはさくや、さいゆうしゅうしょうをじゅしょうしました。 <br>He won the Best Actor Award last night.
[sound:s-0404_彼は昨夜、最優秀賞を受賞しました。.mp3]	<b>受賞</b> <br> 彼は昨夜、最優秀賞を受賞しました。<br> かれはさくや、さいゆうしゅうしょうをじゅしょうしました <br>He won the Best Actor Award last night.
問い合わせ	[sound:k-0405_問い合わせ.mp3]<br>といあわせ <br> enquiry, inquiry, ENQ, query, interrogation
enquiry, inquiry, ENQ, query, interrogation	<b>問い合わせ<b> <br> といあわせ <br>[sound:k-0405_問い合わせ.mp3]
[sound:k-0405_問い合わせ.mp3]	enquiry, inquiry, ENQ, query, interrogation<br> <b>問い合わせ</b> <br> (といあわせ)
<b>受注</b> <br> この製品の受注が増えています。	[sound:s-0405_この製品の受注が増えています。.mp3] <br> このせいひんのじゅちゅうがふえています。 <br>Orders for this product are increasing.
[sound:s-0405_この製品の受注が増えています。.mp3]	<b>受注</b> <br> この製品の受注が増えています。<br> このせいひんのじゅちゅうがふえています <br>Orders for this product are increasing.
会合	[sound:k-0406_会合.mp3]<br>かいごう <br> meeting, assembly; association; (astronomical) conjunction
