presenting a case, suing	<b>提訴<b> <br> ていそ <br>[sound:k-2536_提訴.mp3]
[sound:s-2639_電車の車両数が増えました。.mp3]	<b>車両</b> <br> 電車の車両数が増えました。<br> でんしゃのしゃりょうすうがふえました <br>The number of train cars has increased.
必ず	[sound:k-2640_必ず.mp3]<br>かならず <br> necessarily, certainly, without fail, positively, invariably
necessarily, certainly, without fail, positively, invariably	<b>必ず<b> <br> かならず <br>[sound:k-2640_必ず.mp3]
[sound:k-2640_必ず.mp3]	necessarily, certainly, without fail, positively, invariably<br> <b>必ず</b> <br> (かならず)
<b>電車</b> <br> 電車が遅れています。	[sound:s-2640_電車が遅れています。.mp3] <br> でんしゃがおくれています。 <br>The train is running late.
[sound:s-2640_電車が遅れています。.mp3]	<b>電車</b> <br> 電車が遅れています。<br> でんしゃがおくれています <br>The train is running late.
必ずしも	[sound:k-2641_必ずしも.mp3]<br>かならずしも <br> (not) always, (not) necessarily, (not) all, (not) entirely
(not) always, (not) necessarily, (not) all, (not) entirely	<b>必ずしも<b> <br> かならずしも <br>[sound:k-2641_必ずしも.mp3]
[sound:k-2641_必ずしも.mp3]	(not) always,<br> <b>not) necessarily, (not) all, (not) entirely (必ずしも</b> <br> (かならずしも)
<b>列車</b> <br> その列車は満員です。	[sound:s-2641_その列車は満員です。.mp3] <br> そのれっしゃはまんいんです。 <br>The train is crowded.
[sound:s-2641_その列車は満員です。.mp3]	<b>列車</b> <br> その列車は満員です。<br> そのれっしゃはまんいんです <br>The train is crowded.
必要	[sound:k-2642_必要.mp3]<br>ひつよう <br> necessary, needed, essential, indispensable; necessity, need, requirement
necessary, needed, essential, indispensable; necessity, need, requirement	<b>必要<b> <br> ひつよう <br>[sound:k-2642_必要.mp3]
[sound:k-2642_必要.mp3]	necessary, needed, essential, indispensable; necessity, need, requirement<br> <b>必要</b> <br> (ひつよう)
<b>駐車場</b> <br> ホテルには無料の駐車場があります。	[sound:s-2642_ホテルには無料の駐車場があります。.mp3] <br> ほてるにはむりょうのちゅうしゃじょうがあります。 <br>The hotel has a free parking lot.
[sound:s-2642_ホテルには無料の駐車場があります。.mp3]	<b>駐車場</b> <br> ホテルには無料の駐車場があります。<br> ほてるにはむりょうのちゅうしゃじょうがあります <br>The hotel has a free parking lot.
必要性	[sound:k-2643_必要性.mp3]<br>ひつようせい <br> necessity
necessity	<b>必要性<b> <br> ひつようせい <br>[sound:k-2643_必要性.mp3]
[sound:k-2643_必要性.mp3]	necessity<br> <b>必要性</b> <br> (ひつようせい)
<b>戦車</b> <br> 戦車が戦場に展開されました。	[sound:s-2643_戦車が戦場に展開されました。.mp3] <br> せんしゃがせんじょうにてんかいされました。 <br>Tanks were deployed to the battlefield.
[sound:s-2643_戦車が戦場に展開されました。.mp3]	<b>戦車</b> <br> 戦車が戦場に展開されました。<br> せんしゃがせんじょうにてんかいされました <br>Tanks were deployed to the battlefield.
必死	[sound:k-2644_必死.mp3]<br>ひっし <br> frantic, desperate; inevitable death; brinkmate (inevitable checkmate) (shogi)
frantic, desperate; inevitable death; brinkmate (inevitable checkmate) (shogi)	<b>必死<b> <br> ひっし <br>[sound:k-2644_必死.mp3]
[sound:k-2644_必死.mp3]	frantic, desperate; inevitable death; brinkmate<br> <b>inevitable checkmate) (shogi) (必死</b> <br> (ひっし)
<b>優勝</b> <br> 彼はテニスの大会で優勝しました。	[sound:s-2644_彼はテニスの大会で優勝しました。.mp3] <br> かれはてにすのたいかいでゆうしょうしました。 <br>He won the tennis tournament.
[sound:s-2644_彼はテニスの大会で優勝しました。.mp3]	<b>優勝</b> <br> 彼はテニスの大会で優勝しました。<br> かれはてにすのたいかいでゆうしょうしました <br>He won the tennis tournament.
必着	[sound:k-2645_必着.mp3]<br>ひっちゃく <br> must arrive, must be received
must arrive, must be received	<b>必着<b> <br> ひっちゃく <br>[sound:k-2645_必着.mp3]
[sound:k-2645_必着.mp3]	must arrive, must be received<br> <b>必着</b> <br> (ひっちゃく)
<b>俳優</b> <br> 彼は有名な俳優です。	[sound:s-2645_彼は有名な俳優です。.mp3] <br> かれはゆうめいなはいゆうです。 <br>He is a famous actor.
[sound:s-2645_彼は有名な俳優です。.mp3]	<b>俳優</b> <br> 彼は有名な俳優です。<br> かれはゆうめいなはいゆうです <br>He is a famous actor.
必需	[sound:k-2646_必需.mp3]<br>ひつじゅ <br> necessary
necessary	<b>必需<b> <br> ひつじゅ <br>[sound:k-2646_必需.mp3]
[sound:k-2646_必需.mp3]	necessary<br> <b>必需</b> <br> (ひつじゅ)
<b>優先</b> <br> 安全を優先しなければなりません。	[sound:s-2646_安全を優先しなければなりません。.mp3] <br> あんぜんをゆうせんしなければなりません。 <br>Safety must be given priority.
[sound:s-2646_安全を優先しなければなりません。.mp3]	<b>優先</b> <br> 安全を優先しなければなりません。<br> あんぜんをゆうせんしなければなりません <br>Safety must be given priority.
不必要	[sound:k-2647_不必要.mp3]<br>ふひつよう <br> unnecessary, undesired
unnecessary, undesired	<b>不必要<b> <br> ふひつよう <br>[sound:k-2647_不必要.mp3]
[sound:k-2647_不必要.mp3]	unnecessary, undesired<br> <b>不必要</b> <br> (ふひつよう)
<b>女優</b> <br> 彼女は優れた女優です。	[sound:s-2647_彼女は優れた女優です。.mp3] <br> かのじょはすぐれたじょゆうです。 <br>She is an excellent actress.
[sound:s-2647_彼女は優れた女優です。.mp3]	<b>女優</b> <br> 彼女は優れた女優です。<br> かのじょはすぐれたじょゆうです <br>She is an excellent actress.
必勝	[sound:k-2648_必勝.mp3]<br>ひっしょう <br> certain victory
certain victory	<b>必勝<b> <br> ひっしょう <br>[sound:k-2648_必勝.mp3]
[sound:k-2648_必勝.mp3]	certain victory<br> <b>必勝</b> <br> (ひっしょう)
<b>優秀</b> <br> 彼は優秀な成績を収めました。	[sound:s-2648_彼は優秀な成績を収めました。.mp3] <br> かれはゆうしゅうなせいせきをおさめました。 <br>He achieved excellent grades.
[sound:s-2648_彼は優秀な成績を収めました。.mp3]	<b>優秀</b> <br> 彼は優秀な成績を収めました。<br> かれはゆうしゅうなせいせきをおさめました <br>He achieved excellent grades.
必然的	[sound:k-2649_必然的.mp3]<br>ひつぜんてき <br> inevitable, necessary
inevitable, necessary	<b>必然的<b> <br> ひつぜんてき <br>[sound:k-2649_必然的.mp3]
[sound:k-2649_必然的.mp3]	inevitable, necessary<br> <b>必然的</b> <br> (ひつぜんてき)
<b>優遇</b> <br> その会社は新入社員を優遇します。	[sound:s-2649_その会社は新入社員を優遇します。.mp3] <br> そのかいしゃはしんにゅうしゃいんをゆうぐうします。 <br>The company gives preferential treatment to new employees.
[sound:s-2649_その会社は新入社員を優遇します。.mp3]	<b>優遇</b> <br> その会社は新入社員を優遇します。<br> そのかいしゃはしんにゅうしゃいんをゆうぐうします <br>The company gives preferential treatment to new employees.
応じる	[sound:k-2650_応じる.mp3]<br>おうじる <br> to respond, to satisfy, to accept, to comply with, to apply for
to respond, to satisfy, to accept, to comply with, to apply for	<b>応じる<b> <br> おうじる <br>[sound:k-2650_応じる.mp3]
[sound:k-2650_応じる.mp3]	to respond, to satisfy, to accept, to comply with, to apply for<br> <b>応じる</b> <br> (おうじる)
<b>優しい</b> <br> 彼は優しい笑顔で迎えてくれました。	[sound:s-2650_彼は優しい笑顔で迎えてくれました。.mp3] <br> かれはやさしいえがおでむかえてくれました。 <br>He welcomed me with a gentle smile.
[sound:s-2650_彼は優しい笑顔で迎えてくれました。.mp3]	<b>優しい</b> <br> 彼は優しい笑顔で迎えてくれました。<br> かれはやさしいえがおでむかえてくれました <br>He welcomed me with a gentle smile.
対応	[sound:k-2651_対応.mp3]<br>たいおう <br> interaction, correspondence, coping with, dealing with, support
interaction, correspondence, coping with, dealing with, support	<b>対応<b> <br> たいおう <br>[sound:k-2651_対応.mp3]
[sound:k-2651_対応.mp3]	interaction, correspondence, coping with, dealing with, support<br> <b>対応</b> <br> (たいおう)
<b>優位</b> <br> その企業は市場で優位を保っています。	[sound:s-2651_その企業は市場で優位を保っています。.mp3] <br> そのきぎょうはしじょうでゆういをたもっています。 <br>The company maintains a dominant position in the market.
[sound:s-2651_その企業は市場で優位を保っています。.mp3]	<b>優位</b> <br> その企業は市場で優位を保っています。<br> そのきぎょうはしじょうでゆういをたもっています <br>The company maintains a dominant position in the market.
応える	[sound:k-2652_応える.mp3]<br>こたえる <br> to respond, to live up to, to reward; to take its toll, to strike home
to respond, to live up to, to reward; to take its toll, to strike home	<b>応える<b> <br> こたえる <br>[sound:k-2652_応える.mp3]
[sound:k-2652_応える.mp3]	to respond, to live up to, to reward; to take its toll, to strike home<br> <b>応える</b> <br> (こたえる)
<b>優良</b> <br> この製品は優良な品質を持っています。	[sound:s-2652_この製品は優良な品質を持っています。.mp3] <br> このせいひんはゆうりょうなひんしつをもっています。 <br>This product has excellent quality.
[sound:s-2652_この製品は優良な品質を持っています。.mp3]	<b>優良</b> <br> この製品は優良な品質を持っています。<br> このせいひんはゆうりょうなひんしつをもっています <br>This product has excellent quality.
応援	[sound:k-2653_応援.mp3]<br>おうえん <br> aid, assistance, help, reinforcement, rooting, barracking, support, cheering
aid, assistance, help, reinforcement, rooting, barracking, support, cheering	<b>応援<b> <br> おうえん <br>[sound:k-2653_応援.mp3]
[sound:k-2653_応援.mp3]	aid, assistance, help, reinforcement, rooting, barracking, support, cheering<br> <b>応援</b> <br> (おうえん)
<b>優勢</b> <br> 彼は試合で優勢です。	[sound:s-2653_彼は試合で優勢です。.mp3] <br> かれはしあいでゆうせいです。 <br>He is dominant in the game.
[sound:s-2653_彼は試合で優勢です。.mp3]	<b>優勢</b> <br> 彼は試合で優勢です。<br> かれはしあいでゆうせいです <br>He is dominant in the game.
応募	[sound:k-2654_応募.mp3]<br>おうぼ <br> subscription, application
subscription, application	<b>応募<b> <br> おうぼ <br>[sound:k-2654_応募.mp3]
[sound:k-2654_応募.mp3]	subscription, application<br> <b>応募</b> <br> (おうぼ)
<b>夫</b> <br> 私の夫は医者です。	[sound:s-2654_私の夫は医者です。.mp3] <br> わたしのおっとはいしゃです。 <br>My husband is a doctor.
[sound:s-2654_私の夫は医者です。.mp3]	<b>夫</b> <br> 私の夫は医者です。<br> わたしのおっとはいしゃです <br>My husband is a doctor.
反応	[sound:k-2655_反応.mp3]<br>はんのう <br> reaction, response
reaction, response	<b>反応<b> <br> はんのう <br>[sound:k-2655_反応.mp3]
[sound:k-2655_反応.mp3]	reaction, response<br> <b>反応</b> <br> (はんのう)
<b>夫人</b> <br> 夫人は華やかなドレスを着ています。	[sound:s-2655_夫人は華やかなドレスを着ています。.mp3] <br> ふじんははなやかなどれすをきています。 <br>The lady is wearing a glamorous dress.
[sound:s-2655_夫人は華やかなドレスを着ています。.mp3]	<b>夫人</b> <br> 夫人は華やかなドレスを着ています。<br> ふじんははなやかなどれすをきています <br>The lady is wearing a glamorous dress.
一応	[sound:k-2656_一応.mp3]<br>いちおう <br> once, tentatively, in outline, for the time being, just in case
once, tentatively, in outline, for the time being, just in case	<b>一応<b> <br> いちおう <br>[sound:k-2656_一応.mp3]
[sound:k-2656_一応.mp3]	once, tentatively, in outline, for the time being, just in case<br> <b>一応</b> <br> (いちおう)
