There is a meeting on the same day.	<b>同日に会議があります。</b> <br> どうじつにかいぎがあります。 <br><br> (同日) <br> [sound:4c-s-同日に会議があります。.mp3]
He invested a large sum of money.	<b>彼は多額の資金を投資した。</b> <br> かれはたがくのしきんをとうしした。 <br><br> (多額) <br> [sound:4c-s-彼は多額の資金を投資した。.mp3]
It is a city where diverse cultures coexist.	<b>多彩な文化が共存する都市です。</b> <br> たさいなぶんかがきょうそんするとしです。 <br><br> (多彩) <br> [sound:4c-s-多彩な文化が共存する都市です。.mp3]
This product has some minor damage.	<b>この商品には多少の傷があります。</b> <br> このしょうひんにはたしょうのきずがあります。 <br><br> (多少) <br> [sound:4c-s-この商品には多少の傷があります。.mp3]
I visited tourist spots within the prefecture.	<b>県内の観光地を訪れました。</b> <br> けんないのかんこうちをおとずれました。 <br><br> (県内) <br> [sound:4c-s-県内の観光地を訪れました。.mp3]
Regulations vary by prefecture.	<b>都道府県ごとに規則が異なります。</b> <br> とどうふけんごとにきそくがことなります。 <br><br> (都道府県) <br> [sound:4c-s-都道府県ごとに規則が異なります。.mp3]
A new ordinance was decided in the prefectural assembly.	<b>県議会で新しい条例が決まりました。</b> <br> けんぎかいであたらしいじょうれいがきまりました。 <br><br> (県議) <br> [sound:4c-s-県議会で新しい条例が決まりました。.mp3]
I attend a prefectural university.	<b>県立大学に通っています。</b> <br> けんりつだいがくにかよっています。 <br><br> (県立) <br> [sound:4c-s-県立大学に通っています。.mp3]
I want to hear the continuation of the story.	<b>話の続きを聞きたいです。</b> <br> はなしのつづきをききたいです。 <br><br> (続き) <br> [sound:4c-s-話の続きを聞きたいです。.mp3]
It is important to sustain exercise.	<b>運動を持続することが重要です。</b> <br> うんどうをじぞくすることがじゅうようです。 <br><br> (持続) <br> [sound:4c-s-運動を持続することが重要です。.mp3]
The company's existence is in jeopardy.	<b>その会社の存続が危ぶまれている。</b> <br> そのかいしゃのそんぞくがあやぶまれている。 <br><br> (存続) <br> [sound:4c-s-その会社の存続が危ぶまれている。.mp3]
New products are being released one after another.	<b>新製品が続々と発売されています。</b> <br> しんせいひんがぞくぞくとはつばいされています。 <br><br> (続々) <br> [sound:4c-s-新製品が続々と発売されています。.mp3]
There has been progress in the negotiations.	<b>交渉に進展がありました。</b> <br> こうしょうにしんてんがありました。 <br><br> (進展) <br> [sound:4c-s-交渉に進展がありました。.mp3]
Environmental protection activities promote the development of local communities.	<b>環境保護活動は地域社会の発展を促進します。</b> <br> かんきょうほごかつどうはちいきしゃかいのはってんをそくしんします。 <br><br> (促進) <br> [sound:4c-s-環境保護活動は地域社会の発展を促進します。.mp3]
We developed new products by utilizing advanced technology.	<b>先進技術を活用して新しい製品を開発しました。</b> <br> せんしんぎじゅつをかつようしてあたらしいせいひんをかいはつしました。 <br><br> (先進) <br> [sound:4c-s-先進技術を活用して新しい製品を開発しました。.mp3]
He plans to advance to university next year.	<b>彼は来年大学に進学する予定です。</b> <br> かれはらいねんだいがくにしんがくするよていです。 <br><br> (進学) <br> [sound:4c-s-彼は来年大学に進学する予定です。.mp3]
Formal procedures are required.	<b>正式な手続きが必要です。</b> <br> せいしきなてつづきがひつようです。 <br><br> (正式) <br> [sound:4c-s-正式な手続きが必要です。.mp3]
The machine's operation is normal.	<b>機械の動作は正常です。</b> <br> きかいのどうさはせいじょうです。 <br><br> (正常) <br> [sound:4c-s-機械の動作は正常です。.mp3]
It is necessary to correct misconduct.	<b>不正行為を是正する必要があります。</b> <br> ふせいこういをぜせいするひつようがあります。 <br><br> (是正) <br> [sound:4c-s-不正行為を是正する必要があります。.mp3]
I believe that justice will prevail.	<b>正義は勝つと信じています。</b> <br> せいぎはかつとしんじています。 <br><br> (正義) <br> [sound:4c-s-正義は勝つと信じています。.mp3]
Economic stability is important.	<b>経済の安定が重要です。</b> <br> けいざいのあんていがじゅうようです。 <br><br> (安定) <br> [sound:4c-s-経済の安定が重要です。.mp3]
I become anxious before exams.	<b>試験前は不安になります。</b> <br> しけんまえはふあんになります。 <br><br> (不安) <br> [sound:4c-s-試験前は不安になります。.mp3]
A leisure trip is being planned.	<b>慰安旅行が企画されています。</b> <br> いあんりょこうがきかくされています。 <br><br> (慰安) <br> [sound:4c-s-慰安旅行が企画されています。.mp3]
He hit three singles yesterday.	<b>彼は昨日、三本の安打を打ちました。</b> <br> かれはきのう、さんぼんのあんだをうちました。 <br><br> (安打) <br> [sound:4c-s-彼は昨日、三本の安打を打ちました。.mp3]
New equipment has been introduced.	<b>新しい設備が導入されました。</b> <br> あたらしいせつびがどうにゅうされました。 <br><br> (設備) <br> [sound:4c-s-新しい設備が導入されました。.mp3]
The building design has been completed.	<b>建物の設計は完了しました。</b> <br> たてもののせっけいはかんりょうしました。 <br><br> (設計) <br> [sound:4c-s-建物の設計は完了しました。.mp3]
A new company has been established.	<b>新しい会社が設立されました。</b> <br> あたらしいかいしゃがせつりつされました。 <br><br> (設立) <br> [sound:4c-s-新しい会社が設立されました。.mp3]
Setting goals is important.	<b>目標を設定することが重要です。</b> <br> もくひょうをせっていすることがじゅうようです。 <br><br> (設定) <br> [sound:4c-s-目標を設定することが重要です。.mp3]
The country's security is the top priority.	<b>国の安全保障が最優先です。</b> <br> くにのあんぜんほしょうがさいゆうせんです。 <br><br> (安全保障) <br> [sound:4c-s-国の安全保障が最優先です。.mp3]
Securing resources is a challenge.	<b>資源の確保が課題です。</b> <br> しげんのかくほがかだいです。 <br><br> (確保) <br> [sound:4c-s-資源の確保が課題です。.mp3]
I am enrolled in health insurance.	<b>健康保険に加入しています。</b> <br> けんこうほけんにかにゅうしています。 <br><br> (保険) <br> [sound:4c-s-健康保険に加入しています。.mp3]
System maintenance is necessary.	<b>システムの保守が必要です。</b> <br> しすてむのほしゅがひつようです。 <br><br> (保守) <br> [sound:4c-s-システムの保守が必要です。.mp3]
Car modification is my hobby.	<b>車の改造が趣味です。</b> <br> くるまのかいぞうがしゅみです。 <br><br> (改造) <br> [sound:4c-s-車の改造が趣味です。.mp3]
It is important to change one's thinking.	<b>考えを改めることが大切です。</b> <br> かんがえをあらためることがたいせつです。 <br><br> (改める) <br> [sound:4c-s-考えを改めることが大切です。.mp3]
The charges have been revised.	<b>料金が改定されました。</b> <br> りょうきんがかいていされました。 <br><br> (改定) <br> [sound:4c-s-料金が改定されました。.mp3]
Constitutional amendment is being discussed.	<b>憲法改正が議論されています。</b> <br> けんぽうかいせいがぎろんされています。 <br><br> (改憲) <br> [sound:4c-s-憲法改正が議論されています。.mp3]
There is no change in the constants.	<b>定数の変更はありません。</b> <br> ていすうのへんこうはありません。 <br><br> (定数) <br> [sound:4c-s-定数の変更はありません。.mp3]
The opinions of the minority should also be respected.	<b>少数派の意見も尊重すべきです。</b> <br> しょうすうはのいけんもそんちょうすべきです。 <br><br> (少数) <br> [sound:4c-s-少数派の意見も尊重すべきです。.mp3]
