同日に会議があります。 <br><br> (同日)	<b>どうじつにかいぎがあります。</b> <br> There is a meeting on the same day. <br> [sound:4c-s-同日に会議があります。.mp3]
公的な文書を提出しました。 <br><br> (公的)	<b>こうてきなぶんしょをていしゅつしました。</b> <br> I submitted an official document. <br> [sound:4c-s-公的な文書を提出しました。.mp3]
政治的な話題について議論しました。 <br><br> (政治的)	<b>せいじてきなわだいについてぎろんしました。</b> <br> We discussed political topics. <br> [sound:4c-s-政治的な話題について議論しました。.mp3]
彼は主要な役割を果たしました。 <br><br> (主要)	<b>かれはしゅようなやくわりをはたしました。</b> <br> He played a key role. <br> [sound:4c-s-彼は主要な役割を果たしました。.mp3]
この商品の需要が高まっています。 <br><br> (需要)	<b>このしょうひんのじゅようがたかまっています。</b> <br> Demand for this product is increasing. <br> [sound:4c-s-この商品の需要が高まっています。.mp3]
政府は協力を要請しました。 <br><br> (要請)	<b>せいふはきょうりょくをようせいしました。</b> <br> The government requested cooperation. <br> [sound:4c-s-政府は協力を要請しました。.mp3]
このシステムの必要性を説明してください。 <br><br> (必要性)	<b>このシステムのひつようせいをせつめいしてください。</b> <br> Please explain the necessity of this system. <br> [sound:4c-s-このシステムの必要性を説明してください。.mp3]
このプロジェクトの費用は高いです。 <br><br> (費用)	<b>このプロジェクトのひようはたかいです。</b> <br> This project's cost is high. <br> [sound:4c-s-このプロジェクトの費用は高いです。.mp3]
インターネットの利用が増えています。 <br><br> (利用)	<b>インターネットのりようがふえています。</b> <br> Internet usage is increasing. <br> [sound:4c-s-インターネットの利用が増えています。.mp3]
このシステムは適切に運用されています。 <br><br> (運用)	<b>このシステムはてきせつにうんようされています。</b> <br> This system is being operated properly. <br> [sound:4c-s-このシステムは適切に運用されています。.mp3]
彼は新しい乗用車を購入しました。 <br><br> (乗用車)	<b>かれはあたらしいじょうようしゃをこうにゅうしました。</b> <br> He purchased a new car. <br> [sound:4c-s-彼は新しい乗用車を購入しました。.mp3]
新しい経営体制が導入されました。 <br><br> (体制)	<b>あたらしいけいえいたいせいがどうにゅうされました。</b> <br> A new management system has been introduced. <br> [sound:4c-s-新しい経営体制が導入されました。.mp3]
国際制裁が強化されました。 <br><br> (制裁)	<b>こくさいせいさいがきょうかされました。</b> <br> International sanctions have been strengthened. <br> [sound:4c-s-国際制裁が強化されました。.mp3]
税制改革が進行中です。 <br><br> (税制)	<b>ぜいせいかいかくがしんこうちゅうです。</b> <br> Tax reform is in progress. <br> [sound:4c-s-税制改革が進行中です。.mp3]
彼は強制的に退職されました。 <br><br> (強制)	<b>かれはきょうせいてきにたいしょくされました。</b> <br> He was forced to resign. <br> [sound:4c-s-彼は強制的に退職されました。.mp3]
この地域は自治が認められています。 <br><br> (自治)	<b>このちいきはじちがみとめられています。</b> <br> This area is granted autonomy. <br> [sound:4c-s-この地域は自治が認められています。.mp3]
自治体が新しい政策を発表しました。 <br><br> (自治体)	<b>じちたいがあたらしいせいさくをはっぴょうしました。</b> <br> The local government announced a new policy. <br> [sound:4c-s-自治体が新しい政策を発表しました。.mp3]
政治的な決定は慎重に行われるべきです。 <br><br> (政治的)	<b>せいじてきなけっていはしんちょうにおこなわれるべきです。</b> <br> Political decisions should be made carefully. <br> [sound:4c-s-政治的な決定は慎重に行われるべきです。.mp3]
明治時代の文化を研究しています。 <br><br> (明治)	<b>めいじじだいのぶんかをけんきゅうしています。</b> <br> I'm researching the culture of the Meiji era. <br> [sound:4c-s-明治時代の文化を研究しています。.mp3]
彼の態度はとても丁寧です。 <br><br> (態度)	<b>かれのたいどはとてもていねいです。</b> <br> His attitude is very polite. <br> [sound:4c-s-彼の態度はとても丁寧です。.mp3]
何度も練習すれば上達します。 <br><br> (何度)	<b>なんどもれんしゅうすればじょうたつします。</b> <br> If you practice many times, you will improve. <br> [sound:4c-s-何度も練習すれば上達します。.mp3]
前年度の売上が発表されました。 <br><br> (前年度)	<b>ぜんねんどのうりあげがはっぴょうされました。</b> <br> Last year's sales figures have been announced. <br> [sound:4c-s-前年度の売上が発表されました。.mp3]
この年度の予算が決まりました。 <br><br> (年度)	<b>このねんどのよさんがきまりました。</b> <br> The budget for this fiscal year has been set. <br> [sound:4c-s-この年度の予算が決まりました。.mp3]
事務局が会議の準備を進めています。 <br><br> (事務局)	<b>じむきょくがかいぎのじゅんびをすすめています。</b> <br> The secretariat is preparing for the meeting. <br> [sound:4c-s-事務局が会議の準備を進めています。.mp3]
新しい事務所が開設されました。 <br><br> (事務所)	<b>あたらしいじむしょがかいせつされました。</b> <br> A new office has been established. <br> [sound:4c-s-新しい事務所が開設されました。.mp3]
彼の業務はデータ分析です。 <br><br> (業務)	<b>かれのぎょうむはデータぶんせきです。</b> <br> His job is data analysis. <br> [sound:4c-s-彼の業務はデータ分析です。.mp3]
常務が新しい戦略を発表しました。 <br><br> (常務)	<b>じょうむがあたらしいせんりゃくをはっぴょうしました。</b> <br> The executive director announced a new strategy. <br> [sound:4c-s-常務が新しい戦略を発表しました。.mp3]
毎日1時間勉強しています。 <br><br> (勉強)	<b>まいにちいちじかんべんきょうしています。</b> <br> I study for one hour every day. <br> [sound:4c-s-毎日1時間勉強しています。.mp3]
彼は自信を強めるために努力しています。 <br><br> (強める)	<b>かれはじしんをつよめるためにどりょくしています。</b> <br> He is working hard to build his confidence. <br> [sound:4c-s-彼は自信を強めるために努力しています。.mp3]
政府は強硬な対応を取ることを決定しました。 <br><br> (強硬)	<b>せいふはきょうこうなたいおうをとることをけっていしました。</b> <br> The government decided to take a tough stance. <br> [sound:4c-s-政府は強硬な対応を取ることを決定しました。.mp3]
このチームは非常に強力です。 <br><br> (強力)	<b>このチームはひじょうにきょうりょくです。</b> <br> This team is extremely strong. <br> [sound:4c-s-このチームは非常に強力です。.mp3]
彼の気持ちを理解したいです。 <br><br> (気持ち)	<b>かれのきもちをりかいしたいです。</b> <br> I want to understand his feelings. <br> [sound:4c-s-彼の気持ちを理解したいです。.mp3]
電気の使用量を減らしましょう。 <br><br> (電気)	<b>でんきのしようりょうをへらしましょう。</b> <br> Let's reduce electricity usage. <br> [sound:4c-s-電気の使用量を減らしましょう。.mp3]
病気の予防に気をつけています。 <br><br> (病気)	<b>びょうきのよぼうにきをつけています。</b> <br> I'm careful to prevent illness. <br> [sound:4c-s-病気の予防に気をつけています。.mp3]
彼は一気に本を読み終えました。 <br><br> (一気)	<b>かれはいっきにほんをよみおえました。</b> <br> He finished reading the book in one go. <br> [sound:4c-s-彼は一気に本を読み終えました。.mp3]
小学生は元気いっぱいです。 <br><br> (小学生)	<b>しょうがくせいはげんきいっぱいです。</b> <br> Elementary school students are full of energy. <br> [sound:4c-s-小学生は元気いっぱいです。.mp3]
中小企業の支援策が発表されました。 <br><br> (中小企業)	<b>ちゅうしょうきぎょうのしえんさくがはっぴょうされました。</b> <br> Support measures for small and medium-sized enterprises have been announced. <br> [sound:4c-s-中小企業の支援策が発表されました。.mp3]
彼は小学三年生です。 <br><br> (小学)	<b>かれはしょうがくさんねんせいです。</b> <br> He is a third-grade elementary school student. <br> [sound:4c-s-彼は小学三年生です。.mp3]
このカメラは小型で便利です。 <br><br> (小型)	<b>このカメラはこがたでべんりです。</b> <br> This camera is compact and convenient. <br> [sound:4c-s-このカメラは小型で便利です。.mp3]
